Name,Party,Parliament,Politician ID,RidingID,Province,Gender,ranfor43,reelected43,QuestionPeriod,PvtMemBills,Statements,Backbencher ,DOB1,AgeOnElectionDay,YearsServedAtTimeOfElection
Raj Saini,Liberal Party of Canada,42,9600,35045,ON,M,Yes,Yes,10,0,24,1,21-Aug-67,52,4.008219178
Mark Gerretsen,Liberal Party of Canada,42,9603,35044,ON,M,Yes,Yes,9,1,24,1,1975-06-05,44,4.008219178
Marwan Tabbara,Liberal Party of Canada,42,9608,35047,ON,M,Yes,Yes,9,0,24,1,1984-08-23,35,4.008219178
Deb Schulte,Liberal Party of Canada,42,9622,35043,ON,F,Yes,Yes,10,0,28,0,01-Jan-60,59,4.008219178
Ron Liepert,Conservative Party of Canada,42,9630,48012,AB,M,Yes,Yes,25,1,18,1,1949-10-08,70,4.008219178
Darshan Singh Kang,Liberal Party of Canada,42,9634,48013,AB,M,No,.,16,0,18,1,01-Jan-51,68,4.008219178
Terry Beech,Liberal Party of Canada,42,9643,59002,BC,M,Yes,Yes,68,0,16,1,1981-04-02,38,4.008219178
Pat Kelly,Conservative Party of Canada,42,9649,48010,AB,M,Yes,Yes,85,0,21,0,01-Jan-71,48,4.008219178
Anju Dhillon,Liberal Party of Canada,42,9656,24024,QC,F,Yes,Yes,19,0,27,1,01-Jan-79,40,4.008219178
Steven MacKinnon,Liberal Party of Canada,42,9664,24027,QC,M,Yes,Yes,78,0,23,1,1966-09-28,53,4.008219178
Diane Lebouthillier,Liberal Party of Canada,42,9666,24026,QC,F,Yes,Yes,405,0,0,0,1959-02-05,60,4.008219178
Brenda Shanahan,Liberal Party of Canada,42,9671,24021,QC,F,Yes,Yes,16,1,32,1,01-Jan-58,61,4.008219178
Marie-Claude Bibeau,Liberal Party of Canada,42,9678,24023,QC,F,Yes,Yes,125,0,0,0,1970-04-04,49,4.008219178
Amarjeet Sohi,Liberal Party of Canada,42,9703,48017,AB,M,Yes,No,302,0,0,0,1964-03-08,55,4.008219178
Filomena Tassi,Liberal Party of Canada,42,9707,35038,ON,F,Yes,Yes,14,0,19,1,01-Jan-62,57,4.008219178
Mike Bossio,Liberal Party of Canada,42,9709,35039,ON,M,Yes,No,13,0,23,1,01-Jan-60,59,4.008219178
Dan Vandal,Liberal Party of Canada,42,9713,46009,MB,M,Yes,Yes,18,0,34,1,18-Apr-60,59,4.008219178
Randy Boissonnault,Liberal Party of Canada,42,9717,48014,AB,M,Yes,No,33,0,42,1,1970-07-14,49,4.008219178
Francis Drouin,Liberal Party of Canada,42,9726,35031,ON,M,Yes,Yes,20,0,23,0,1983-10-07,36,4.008219178
Lloyd Longfield,Liberal Party of Canada,42,9731,35032,ON,M,Yes,Yes,13,0,30,1,Oct-56,63,4.008219178
Jamie Schmale,Conservative Party of Canada,42,9741,35034,ON,M,Yes,Yes,66,0,26,0,10-Aug-76,43,4.008219178
Bob Bratina,Liberal Party of Canada,42,9747,35036,ON,M,Yes,Yes,10,0,22,1,01-Jan-44,75,4.008219178
Scott Duvall,New Democratic Party,42,9753,35037,ON,M,Yes,Yes,59,1,24,1,1956-07-01,63,4.008219178
Jane Philpott,Liberal Party of Canada,42,9770,35054,ON,F,Yes,No,276,0,2,0,1960-11-23,58,4.008219178
Peter Fragiskatos,Liberal Party of Canada,42,9775,35052,ON,M,Yes,Yes,13,1,27,1,1981-04-30,38,4.008219178
Kate Young,Liberal Party of Canada,42,9781,35053,ON,F,Yes,Yes,43,0,32,1,01-Jan-54,65,4.008219178
Robert Gordon Kitchen,Conservative Party of Canada,42,9788,47013,SK,M,Yes,Yes,25,0,27,0,01-Jan-57,62,4.008219178
Sheri Benson,New Democratic Party,42,9791,47012,SK,F,Yes,No,90,5,33,1,01-Jan-62,57,4.008219178
Kevin Waugh,Conservative Party of Canada,42,9802,47010,SK,M,Yes,Yes,24,1,28,0,1956-06-09,63,4.008219178
Cathay Wagantall,Conservative Party of Canada,42,9804,47014,SK,F,Yes,Yes,55,1,27,0,1956-03-07,63,4.008219178
Martin Shields,Conservative Party of Canada,42,9812,48003,AB,M,Yes,Yes,25,0,18,1,1948-04-28,71,4.008219178
Len Webber,Conservative Party of Canada,42,9818,48005,AB,M,Yes,Yes,11,1,21,1,1960-11-10,58,4.008219178
Kent Hehr,Liberal Party of Canada,42,9820,48004,AB,M,Yes,No,98,0,15,0,1969-12-16,49,4.008219178
Bobby Morrissey,Liberal Party of Canada,42,9834,11003,PE,M,Yes,Yes,4,0,13,1,1954-11-18,64,4.008219178
David Lametti,Liberal Party of Canada,42,9835,24037,QC,M,Yes,Yes,368,0,28,1,1962-08-10,57,4.008219178
Jean-Claude Poissant,Liberal Party of Canada,42,9840,24034,QC,M,Yes,No,107,0,37,0,01-Jan-60,59,4.008219178
Karine Trudel,New Democratic Party,42,9848,24032,QC,F,Yes,No,163,2,16,0,,,4.008219178
Greg Fergus,Liberal Party of Canada,42,9855,24030,QC,M,Yes,Yes,65,0,37,0,31-May-69,50,4.008219178
Darren Fisher,Liberal Party of Canada,42,9869,12004,NS,M,Yes,Yes,16,1,27,0,1965-09-10,54,4.008219178
